evidence_source,model,architecture,semantics,rank,elpd_loo,delta_elpd_from_best,ppc_rmse,ppc_r,n_parameters,complexity,diagnostic_status,max_r_hat,n_divergent,diagnostics_ok,on_frontier,posterior_pareto_frontier,total_heldout_elpd,heldout_pareto_frontier
slider_posterior_ablation,planned_usefulness_order_static,planned_usefulness_order,context_fixed,1.0,-2763.4085807800293,-0.3018221855163574,0.0796311890041481,0.9793019719446476,5,64.78146076202393,pass,1.01,0,True,True,True,,
slider_posterior_ablation,planned_usefulness_order,planned_usefulness_order,unspecified,5.0,-2764.0637078285217,-0.9569492340087892,0.079695978769361,0.9790927659858174,5,64.72179079055786,pass,1.01,0,True,True,True,,
slider_posterior_ablation,planned_usefulness_signed_order_static,unknown,context_fixed,0.0,-2763.106758594513,0.0,0.079803708833968,0.9792048391209524,5,64.74837589263916,fail,1.01,1,False,False,False,,
slider_posterior_ablation,planned_usefulness_mixture_static,planned_usefulness_mixture,context_fixed,2.0,-2763.5882563591003,-0.4814977645874023,0.0798670667612503,0.9799530392731952,6,64.52513027191162,fail,1.03,1,False,False,False,,
slider_posterior_ablation,planned_usefulness_signed_order,unknown,unspecified,3.0,-2763.6395840644836,-0.5328254699707031,0.0798888482059575,0.9788319937882424,5,64.54290914535522,fail,1.01,1,False,False,False,,
slider_posterior_ablation,planned_usefulness_mixture,planned_usefulness_mixture,unspecified,4.0,-2763.9817061424255,-0.8749475479125977,0.0800526133412031,0.9792690985720856,6,64.80038261413574,pass,1.01,0,True,False,False,,
slider_posterior_ablation,incremental_recursive,incremental,context_updating,6.0,-2774.080696582794,-10.97393798828125,0.0836053678858045,0.9601815218042624,4,64.80538558959961,pass,1.01,0,True,False,False,,
slider_posterior_ablation,incremental_static,incremental,context_fixed,7.0,-2774.137773513794,-11.031014919281006,0.0836170860059135,0.9602555777542032,4,65.12633895874023,pass,1.01,0,True,False,False,,
slider_heldout_ablation,planned_usefulness_signed_order_static,unknown,context_fixed,,,,0.079803708833968,0.9792048391209524,139,,pass,1.01,0,True,True,,-2764.4097290039062,True
slider_heldout_ablation,planned_usefulness_order,planned_usefulness_order,unspecified,,,,0.079695978769361,0.9790927659858174,139,,warn,1.02,0,True,True,,-2765.2147216796875,True
slider_heldout_ablation,incremental_recursive,incremental,context_updating,,,,0.0836053678858045,0.9601815218042624,138,,pass,1.01,0,True,True,,-2765.744140625,True
slider_heldout_ablation,planned_usefulness_order_static,planned_usefulness_order,context_fixed,,,,0.0796311890041481,0.9793019719446476,139,,fail,1.01,1,False,False,,-2764.3997802734375,False
slider_heldout_ablation,planned_usefulness_mixture_static,planned_usefulness_mixture,context_fixed,,,,0.0798670667612503,0.9799530392731952,140,,pass,1.01,0,True,False,,-2765.0987548828125,False
slider_heldout_ablation,planned_usefulness_signed_order,unknown,unspecified,,,,0.0798888482059575,0.9788319937882424,139,,fail,1.01,1,False,False,,-2765.1373291015625,False
slider_heldout_ablation,incremental_static,incremental,context_fixed,,,,0.0836170860059135,0.9602555777542032,138,,fail,1.01,1,False,False,,-2765.5162353515625,False
slider_heldout_ablation,planned_usefulness_mixture,planned_usefulness_mixture,unspecified,,,,0.0800526133412031,0.9792690985720856,140,,warn,1.02,0,True,False,,-2765.5287475585938,False
production_2x2,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,0.0,-6367.339756965637,0.0,0.0876481618876743,0.7276022165147812,6,49.00813102722168,pass,1.0,0,True,True,True,,
production_2x2,principled_salience_stop_regularized_2x2_inc_rec,incremental,context_updating,1.0,-6369.320020675659,-1.9802637100219729,0.087825039220157,0.7262211063776227,6,48.55435085296631,pass,1.0,0,True,True,True,,
production_2x2,principled_salience_stop_regularized_2x2_glob_rec,global,context_updating,2.0,-7730.713019371033,-1363.3732624053955,0.1079346702894038,0.5402891112800816,6,615.5122051239014,fail,1.53,0,False,False,False,,
production_2x2,principled_salience_stop_regularized_2x2_glob_static,global,context_fixed,3.0,-7731.072658538818,-1363.7329015731812,0.1079239268078755,0.5404895515609157,6,615.7543048858643,fail,1.54,0,False,False,False,,
