model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_2x2_inc_rec,alpha,1.43,0.138,1.169,1.678,0.002,0.001,4120.0,5432.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,log_beta_order,0.593,0.029,0.538,0.645,0.0,0.0,6089.0,5925.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,lambda_salience,1.573,0.04,1.499,1.65,0.0,0.0,6885.0,6297.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,rho_salience_stop,0.493,0.048,0.406,0.588,0.0,0.001,9385.0,6126.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,6140.0,3183.0,1.0
principled_salience_stop_regularized_2x2_inc_rec,tau,0.837,0.082,0.683,0.99,0.002,0.001,1898.0,3796.0,1.0
principled_salience_stop_regularized_2x2_inc_static,alpha,1.441,0.137,1.165,1.682,0.002,0.001,4299.0,5533.0,1.0
principled_salience_stop_regularized_2x2_inc_static,log_beta_order,0.592,0.028,0.54,0.645,0.0,0.0,5844.0,6222.0,1.0
principled_salience_stop_regularized_2x2_inc_static,lambda_salience,1.573,0.04,1.5,1.651,0.0,0.0,6906.0,6255.0,1.0
principled_salience_stop_regularized_2x2_inc_static,rho_salience_stop,0.492,0.048,0.406,0.587,0.001,0.001,9104.0,5481.0,1.0
principled_salience_stop_regularized_2x2_inc_static,epsilon,0.003,0.003,0.0,0.009,0.0,0.0,6223.0,3555.0,1.0
principled_salience_stop_regularized_2x2_inc_static,tau,0.841,0.081,0.687,0.993,0.002,0.001,1979.0,3973.0,1.0
principled_salience_stop_regularized_2x2_glob_rec,alpha,1.732,2.865,0.0,7.288,1.411,0.842,7.0,29.0,1.53
principled_salience_stop_regularized_2x2_glob_rec,log_beta_order,0.893,1.166,0.147,2.994,0.581,0.336,7.0,29.0,1.53
principled_salience_stop_regularized_2x2_glob_rec,lambda_salience,1.833,0.287,1.176,2.114,0.119,0.092,9.0,27.0,1.45
principled_salience_stop_regularized_2x2_glob_rec,rho_salience_stop,0.065,0.143,0.0,0.366,0.051,0.047,8.0,29.0,1.47
principled_salience_stop_regularized_2x2_glob_rec,epsilon,0.186,0.317,0.0,0.742,0.158,0.091,7.0,29.0,1.53
principled_salience_stop_regularized_2x2_glob_rec,tau,0.188,0.108,0.026,0.386,0.019,0.009,33.0,101.0,1.1
principled_salience_stop_regularized_2x2_glob_static,alpha,1.87,3.121,0.0,7.915,1.538,0.918,7.0,29.0,1.53
principled_salience_stop_regularized_2x2_glob_static,log_beta_order,0.89,1.159,0.156,2.988,0.577,0.334,7.0,29.0,1.54
principled_salience_stop_regularized_2x2_glob_static,lambda_salience,1.797,0.342,1.021,2.101,0.15,0.108,8.0,27.0,1.48
principled_salience_stop_regularized_2x2_glob_static,rho_salience_stop,0.066,0.143,0.0,0.367,0.052,0.047,8.0,28.0,1.46
principled_salience_stop_regularized_2x2_glob_static,epsilon,0.186,0.317,0.0,0.742,0.158,0.091,7.0,29.0,1.53
principled_salience_stop_regularized_2x2_glob_static,tau,0.18,0.102,0.034,0.374,0.021,0.01,29.0,77.0,1.12
