relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n
both,blurred,0,D,0.0,0.0,0.0,566
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566
both,blurred,14,FCD,0.0,0.0,0.0,566
both,sharp,0,D,0.0,0.0,0.0,503
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503
both,sharp,5,C,0.0,0.0,0.0,503
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503
both,sharp,11,FD,0.0,0.0,0.0,503
both,sharp,12,FDC,0.0,0.0,0.0,503
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554
first,blurred,9,CFD,0.0,0.0,0.0,554
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502
first,sharp,5,C,0.0,0.0,0.0,502
first,sharp,6,CD,0.0,0.0,0.0,502
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502
first,sharp,12,FDC,0.0,0.0,0.0,502
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502
first,sharp,14,FCD,0.0,0.0,0.0,502
second,blurred,0,D,0.0,0.0,0.0,567
second,blurred,1,DC,0.0,0.0,0.0,567
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567
second,blurred,3,DF,0.0,0.0,0.0,567
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567
second,blurred,5,C,0.6278659611992945,0.5890652557319224,0.6684303350970018,567
second,blurred,6,CD,0.0,0.0,0.0,567
second,blurred,7,CDF,0.005291005291005291,0.0,0.012345679012345678,567
second,blurred,8,CF,0.26278659611992944,0.2257495590828924,0.2980599647266314,567
second,blurred,9,CFD,0.0,0.0,0.0,567
second,blurred,10,F,0.04409171075837742,0.02821869488536155,0.06172839506172839,567
second,blurred,11,FD,0.0,0.0,0.0,567
second,blurred,12,FDC,0.0,0.0,0.0,567
second,blurred,13,FC,0.019400352733686066,0.008818342151675485,0.031746031746031744,567
second,blurred,14,FCD,0.0,0.0,0.0,567
second,sharp,0,D,0.0,0.0,0.0,504
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504
second,sharp,3,DF,0.0,0.0,0.0,504
second,sharp,4,DFC,0.005952380952380952,0.0,0.013888888888888888,504
second,sharp,5,C,0.7162698412698413,0.6765873015873016,0.7559523809523809,504
second,sharp,6,CD,0.0,0.0,0.0,504
second,sharp,7,CDF,0.003968253968253968,0.0,0.00992063492063492,504
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504
second,sharp,9,CFD,0.0,0.0,0.0,504
second,sharp,10,F,0.01984126984126984,0.00992063492063492,0.031746031746031744,504
second,sharp,11,FD,0.0,0.0,0.0,504
second,sharp,12,FDC,0.0,0.0,0.0,504
second,sharp,13,FC,0.01984126984126984,0.00992063492063492,0.03373015873015873,504
second,sharp,14,FCD,0.0,0.0,0.0,504
