model,relevant_property,sharpness,human_mean,model_mean,signed_residual,abs_residual
incremental_recursive,both,blurred,0.7456020075441603,0.67625546,-0.06934654299032728,0.06934654299032728
incremental_recursive,both,sharp,0.7039198614267522,0.6828643,-0.021055553069513455,0.021055553069513455
incremental_recursive,first,blurred,0.8004220194738666,0.7208046,-0.07961744736845888,0.07961744736845888
incremental_recursive,first,sharp,0.8430052735958975,0.7242041,-0.11880115057572538,0.11880115057572538
incremental_recursive,second,blurred,0.5622611471576391,0.6402827,0.07802154336741585,0.07802154336741585
incremental_recursive,second,sharp,0.5434676018329876,0.6441992,0.10073159069096871,0.10073159069096871
incremental_static,both,blurred,0.7456020075441603,0.6762401,-0.06936192098867933,0.06936192098867933
incremental_static,both,sharp,0.7039198614267522,0.682753,-0.02116683494130911,0.02116683494130911
incremental_static,first,blurred,0.8004220194738666,0.72071904,-0.07970298003371157,0.07970298003371157
incremental_static,first,sharp,0.8430052735958975,0.7241966,-0.11880866076096708,0.11880866076096708
incremental_static,second,blurred,0.5622611471576391,0.6402144,0.07795323644450325,0.07795323644450325
incremental_static,second,sharp,0.5434676018329876,0.6442,0.10073242515599556,0.10073242515599556
incremental_free_color,both,blurred,0.7456020075441603,0.6771926,-0.06840937916052381,0.06840937916052381
incremental_free_color,both,sharp,0.7039198614267522,0.6876139,-0.016305956950586453,0.016305956950586453
incremental_free_color,first,blurred,0.8004220194738666,0.71820873,-0.08221328925307192,0.08221328925307192
incremental_free_color,first,sharp,0.8430052735958975,0.7217159,-0.12128934647187406,0.12128934647187406
incremental_free_color,second,blurred,0.5622611471576391,0.6396702,0.07740904603770393,0.07740904603770393
incremental_free_color,second,sharp,0.5434676018329876,0.6424385,0.09897086948430367,0.09897086948430367
incremental_static_free_color,both,blurred,0.7456020075441603,0.67679185,-0.06881016079199354,0.06881016079199354
incremental_static_free_color,both,sharp,0.7039198614267522,0.6873141,-0.016605768313806668,0.016605768313806668
incremental_static_free_color,first,blurred,0.8004220194738666,0.7182244,-0.08219761323149599,0.08219761323149599
incremental_static_free_color,first,sharp,0.8430052735958975,0.7217526,-0.1212526896153372,0.1212526896153372
incremental_static_free_color,second,blurred,0.5622611471576391,0.63954836,0.07728721414378303,0.07728721414378303
incremental_static_free_color,second,sharp,0.5434676018329876,0.64273316,0.0992655548480732,0.0992655548480732
