color_semvalue,k
0.9887683,0.45703626
0.98875004,0.4574099
0.9887088,0.45773813
0.988698,0.45769683
0.988713,0.45761934
0.9887234,0.45730925
0.98870754,0.45768774
0.9886883,0.4577291
0.98870355,0.45771056
0.98826784,0.4574772
0.98824906,0.45770156
0.9879211,0.45541918
0.9874357,0.45096996
0.986337,0.45341924
0.9864088,0.45321494
0.98633885,0.45305368
0.98598504,0.45468587
0.98584586,0.4546483
0.9858678,0.45457092
0.98577523,0.45408964
0.97048146,0.7077696
0.97123545,0.70473385
0.9712691,0.7073639
0.9713128,0.7093271
0.97117716,0.7124662
0.97201705,0.7310942
0.9702049,0.7361175
0.9731426,0.7592341
0.9737671,0.7565545
0.97536033,0.7346184
0.97318643,0.7133419
0.97268564,0.7184601
0.96813655,0.7203193
0.9673593,0.7219805
0.9672597,0.7176437
0.9694462,0.71361196
0.97019804,0.7401966
0.97009665,0.74025524
0.97121406,0.73238844
0.9725248,0.7255868
0.8442955,0.17939083
0.84472036,0.17933072
0.844111,0.17936216
0.84366363,0.17936558
0.8436827,0.17936698
0.84495085,0.17925255
0.84498894,0.17925696
0.84388596,0.17924978
0.84380627,0.17936392
0.8436258,0.17951375
0.843957,0.17954442
0.8455971,0.17943387
0.84577703,0.1792407
0.84591144,0.17955458
0.8450138,0.17945684
0.8447403,0.17951313
0.84470236,0.17933051
0.84435606,0.17967401
0.8433095,0.17921342
0.8443393,0.17932639
0.97513527,0.7327441
0.9754028,0.73494774
0.9752068,0.74097073
0.9736337,0.7707352
0.97410315,0.76406217
0.9739325,0.7706675
0.9735999,0.7680798
0.9720721,0.7562908
0.9742522,0.7558837
0.9741484,0.7683966
0.9680006,0.7334827
0.9707611,0.73602736
0.97114325,0.72344464
0.9717935,0.70997757
0.970979,0.72365993
0.97054625,0.7236848
0.9701754,0.71037084
0.97176254,0.7335155
0.97184664,0.7452768
0.9725366,0.74676293
